respondent_id,survey_year,survey_month,survey_platform,response_time_minutes,country,region,age,gender,education_level,employment_status,income_bracket,primary_sport,sport_category,secondary_sport,years_following_sport,fan_loyalty_score,primary_viewing_method,watch_frequency,weekly_hours_watching,streaming_subscriptions,stadium_visits_per_year,merchandise_spend_usd,ppv_spend_usd,total_annual_spend_usd,social_media_follows_athletes,social_media_hours_weekly,creates_sports_content,news_source,sports_betting_participation,fantasy_sports_participation,primary_motivation,willing_to_attend_major_event,extra_spend_willingness_usd,broadcast_quality_rating,athlete_professionalism_rating,event_value_for_money_rating,media_coverage_rating,community_atmosphere_rating,overall_satisfaction_rating,sport_growth_perception_rating,fan_tier
295,2024,9,In-person tablet,14,USA,North America,18,Male,Vocational training,Employed part-time,$50k–$75k,Tennis,Racquet Sport,,6,2,Streaming service,Weekly,6.6,0,0,26,9,35,No,3.9,Yes,Social media,No,Yes,Social bonding,Probably yes,14.95,4,9,7,7,9,6,7,Silver
296,2024,5,In-app,11,Germany,Europe,51,Female,Bachelor's degree,Employed full-time,$75k–$100k,Cycling,Individual Sport,,13,4,Streaming service,Weekly,5.7,0,0,62,18,80,Yes,1.8,No,Sports website/app,No,No,Entertainment,Probably yes,18.21,7,6,5,10,9,8,6,Silver
297,2024,2,Online (mobile),13,South Africa,Africa,41,Male,Bachelor's degree,Employed full-time,Over $150k,Cricket,Team Sport,Athletics,21,4,Streaming service,Weekly,3.4,1,8,31,52,83,Yes,3.4,No,Sports website/app,No,No,Entertainment,Definitely yes,11.44,3,9,1,8,8,9,5,Gold
298,2024,9,Online (mobile),9,India,South Asia,39,Male,Bachelor's degree,Unemployed,$75k–$100k,Cricket,Team Sport,,18,5,Streaming service,A few times a month,2.1,1,3,435,25,460,Yes,2.5,No,Sports website/app,Yes,No,Social bonding,Maybe,4.91,9,8,5,8,9,8,9,Gold
299,2024,2,In-person tablet,11,Spain,Europe,35,Male,Master's degree,Employed full-time,$75k–$100k,Soccer,Team Sport,,19,5,Free broadcast TV,Several times a week,6.3,1,2,32,0,32,Yes,0.0,No,TV sports news,Yes,No,Entertainment,Maybe,8.25,4,6,7,7,6,8,9,Silver
300,2024,1,Online (desktop),18,USA,North America,18,Female,Doctorate,Self-employed,$25k–$50k,Tennis,Racquet Sport,American Football,8,4,Streaming service,Several times a week,7.5,1,0,79,2,81,No,5.7,No,Social media,No,No,Athletic excellence,Maybe,0.54,7,8,4,7,7,8,6,Gold
301,2024,3,In-app,9,USA,North America,28,Non-binary,Master's degree,Self-employed,$25k–$50k,Ice Hockey,Team Sport,,9,3,Streaming service,Daily,13.7,0,0,47,29,76,Yes,4.9,No,Sports website/app,Yes,No,Community & belonging,Probably yes,6.03,8,7,7,4,8,8,9,Gold
302,2024,6,In-person tablet,7,Germany,Europe,42,Male,Bachelor's degree,Employed full-time,$50k–$75k,Basketball,Team Sport,,11,2,Free broadcast TV,Several times a week,7.8,2,1,13,5,18,Yes,0.0,No,Sports website/app,No,Yes,Athletic excellence,Maybe,7.25,9,5,7,6,9,8,3,Bronze
303,2024,3,Online (mobile),12,Germany,Europe,21,Male,Bachelor's degree,Employed full-time,$25k–$50k,Tennis,Racquet Sport,,9,2,Social media clips,Weekly,6.0,2,1,27,4,31,No,1.9,No,TV sports news,Yes,Yes,Athletic excellence,Probably yes,2.22,8,6,8,8,9,9,7,Silver
304,2024,6,Online (desktop),13,Spain,Europe,18,Male,Master's degree,Employed part-time,$75k–$100k,Tennis,Racquet Sport,Basketball,7,3,Streaming service,Daily,12.3,4,1,174,16,190,Yes,3.5,No,Social media,No,Yes,Gambling/betting,Definitely not,8.62,7,7,4,7,9,6,6,Platinum
305,2024,3,Online (desktop),11,Canada,North America,31,Male,Bachelor's degree,Employed full-time,$25k–$50k,Basketball,Team Sport,,13,6,Streaming service,Daily,10.2,3,1,21,19,40,Yes,4.1,No,Social media,Yes,No,Entertainment,Definitely not,0.53,8,5,9,7,7,8,8,Gold
306,2024,10,Online (desktop),12,Nigeria,Africa,31,Male,Some college,Student,$100k–$150k,Soccer,Team Sport,,23,4,Sports bar/pub,Daily,10.5,4,0,13,50,63,Yes,2.9,No,Sports website/app,Yes,No,Physical inspiration,Maybe,56.24,6,8,6,9,5,9,5,Silver
307,2024,2,Online (desktop),11,Germany,Europe,34,Male,High school,Retired,$100k–$150k,Cycling,Individual Sport,Tennis,11,4,Cable/satellite TV,Weekly,5.0,1,3,25,103,128,Yes,3.7,Yes,Social media,No,Yes,Community & belonging,Probably not,0.71,6,7,2,7,4,5,3,Silver
308,2024,2,Online (desktop),18,India,South Asia,41,Female,High school,Employed full-time,$50k–$75k,Badminton,Racquet Sport,,10,2,Sports bar/pub,Several times a week,5.2,3,1,11,39,50,Yes,2.7,No,Podcast/radio,Yes,Yes,Athletic excellence,Definitely not,3.08,8,7,5,5,8,8,7,Bronze
309,2024,4,Online (mobile),18,South Africa,Africa,40,Male,Master's degree,Employed full-time,$25k–$50k,Cricket,Team Sport,Rugby,20,3,Streaming service,Daily,12.8,0,1,18,35,53,No,2.0,No,Sports website/app,Yes,No,Community & belonging,Definitely yes,15.86,7,8,5,5,9,7,7,Silver
310,2024,3,Online (mobile),6,India,South Asia,36,Male,High school,Employed full-time,$75k–$100k,Cricket,Team Sport,Tennis,10,2,Streaming service,Weekly,6.0,2,3,14,27,41,Yes,1.0,No,Social media,Yes,Yes,Social bonding,Definitely not,5.03,8,6,4,8,6,7,9,Bronze
311,2024,8,Online (desktop),16,UK,Europe,46,Male,Some college,Student,Over $150k,Golf,Individual Sport,Cricket,25,2,Cable/satellite TV,Weekly,4.4,4,1,78,121,199,Yes,0.9,Yes,Podcast/radio,No,No,Nostalgia,Definitely yes,55.75,6,5,4,6,9,8,9,Silver
312,2024,1,In-app,4,USA,North America,18,Male,Bachelor's degree,Employed full-time,$75k–$100k,Baseball,Team Sport,Ice Hockey,3,4,Streaming service,Several times a week,7.9,1,4,1,0,1,Yes,4.0,No,Social media,No,No,Community & belonging,Definitely yes,0.93,8,5,5,6,7,4,7,Silver
313,2024,6,Online (mobile),18,USA,North America,39,Male,Bachelor's degree,Employed full-time,Under $25k,American Football,Team Sport,,13,1,Social media clips,Weekly,3.9,1,1,5,26,31,Yes,4.0,No,TV sports news,No,No,Nostalgia,Definitely not,0.16,8,6,6,8,6,7,4,Bronze
314,2024,6,Online (mobile),14,Nigeria,Africa,40,Female,Bachelor's degree,Employed part-time,Under $25k,Athletics,Individual Sport,Soccer,32,5,Radio/podcast,Daily,9.9,0,0,5,15,20,Yes,0.7,No,TV sports news,Yes,Yes,Community & belonging,Definitely yes,0.33,7,6,4,7,9,9,8,Silver
315,2024,5,Online (mobile),12,France,Europe,19,Non-binary,Master's degree,Retired,$25k–$50k,Rugby,Team Sport,Soccer,4,1,Sports bar/pub,Monthly or less,0.5,0,0,63,7,70,Yes,4.1,No,Social media,No,No,Physical inspiration,Maybe,11.5,5,7,4,10,8,5,9,Bronze
316,2024,12,Online (mobile),7,Japan,East Asia,18,Male,High school,Employed full-time,$25k–$50k,Soccer,Team Sport,,3,1,Social media clips,Several times a week,7.6,1,1,2,9,11,Yes,3.8,No,Social media,Yes,Yes,Entertainment,Definitely not,0.6,9,10,2,7,5,10,8,Bronze
317,2024,10,Online (mobile),16,Brazil,South America,25,Male,High school,Employed full-time,$100k–$150k,Soccer,Team Sport,Athletics,14,5,Social media clips,Monthly or less,0.9,2,3,136,40,176,Yes,2.2,Yes,Newspaper/magazine,No,No,Community & belonging,Definitely yes,15.19,10,5,10,8,7,7,3,Gold
318,2024,11,Online (mobile),7,USA,North America,26,Female,Bachelor's degree,Retired,$100k–$150k,American Football,Team Sport,,5,3,Free broadcast TV,Monthly or less,1.3,1,2,84,231,315,Yes,1.9,No,Social media,No,No,Community & belonging,Definitely yes,8.36,7,9,6,7,9,7,7,Silver
319,2024,12,In-app,19,USA,North America,41,Male,Bachelor's degree,Student,$25k–$50k,Tennis,Racquet Sport,Basketball,12,2,Free broadcast TV,Weekly,4.1,0,0,24,0,24,Yes,0.3,No,Sports website/app,No,No,Nostalgia,Maybe,10.14,9,5,8,7,6,8,6,Bronze
320,2024,8,Online (desktop),14,India,South Asia,26,Male,Bachelor's degree,Student,$25k–$50k,Soccer,Team Sport,Tennis,12,2,Streaming service,Daily,18.2,1,0,0,23,23,Yes,2.6,No,Social media,Yes,No,Entertainment,Maybe,2.02,7,8,8,8,9,9,6,Bronze
321,2024,11,Online (desktop),15,Germany,Europe,24,Male,High school,Employed part-time,$25k–$50k,Soccer,Team Sport,,12,2,Streaming service,Weekly,6.4,1,0,8,3,11,Yes,2.1,Yes,Social media,No,Yes,Community & belonging,Probably not,0.09,5,5,7,8,9,5,5,Bronze
322,2024,1,In-app,11,Japan,East Asia,26,Female,Doctorate,Retired,$100k–$150k,Basketball,Team Sport,,15,3,In-person (stadium/arena),Daily,16.3,5,3,184,101,285,Yes,4.1,No,Social media,Yes,No,Gambling/betting,Probably not,22.72,7,8,8,5,7,8,9,Platinum
323,2024,12,Online (desktop),16,Spain,Europe,45,Male,Master's degree,Self-employed,$50k–$75k,Basketball,Team Sport,MMA,13,3,Social media clips,A few times a month,3.2,1,1,32,28,60,No,3.5,No,Social media,No,Yes,Entertainment,Definitely yes,6.85,7,10,6,6,6,8,5,Silver
324,2024,5,In-person tablet,5,India,South Asia,33,Female,High school,Unemployed,$75k–$100k,Soccer,Team Sport,Field Hockey,17,6,In-person (stadium/arena),Weekly,2.5,1,2,174,5,179,Yes,4.2,No,Social media,Yes,No,Entertainment,Probably yes,7.26,8,4,3,7,8,9,7,Platinum
325,2024,4,Online (desktop),12,China,East Asia,31,Female,High school,Student,$50k–$75k,Soccer,Team Sport,Swimming,9,1,Social media clips,Monthly or less,0.5,1,0,4,14,18,Yes,3.0,No,Sports website/app,No,Yes,Nostalgia,Maybe,3.76,5,7,9,8,8,10,9,Bronze
326,2024,8,In-app,7,Canada,North America,32,Male,Vocational training,Student,$75k–$100k,Soccer,Team Sport,American Football,9,3,Cable/satellite TV,Weekly,4.8,2,2,29,6,35,No,1.3,No,Sports website/app,Yes,No,Physical inspiration,Maybe,19.49,6,7,3,5,8,6,6,Silver
327,2024,11,Online (mobile),15,Germany,Europe,47,Female,Master's degree,Employed full-time,$50k–$75k,Soccer,Team Sport,,33,5,Free broadcast TV,Several times a week,5.3,0,4,156,6,162,Yes,1.8,No,Sports website/app,No,No,Gambling/betting,Probably yes,0.75,7,9,9,6,7,6,6,Platinum
328,2024,10,In-app,9,Australia,Oceania,25,Female,Bachelor's degree,Employed full-time,$25k–$50k,Cricket,Team Sport,Soccer,7,4,Radio/podcast,Several times a week,7.4,1,1,31,6,37,Yes,2.2,No,Social media,Yes,No,Athletic excellence,Probably yes,0.88,5,7,5,8,10,9,5,Silver
329,2024,11,Online (mobile),13,Brazil,South America,47,Male,Master's degree,Student,$75k–$100k,Soccer,Team Sport,Volleyball,24,5,Streaming service,Several times a week,9.5,2,0,158,38,196,Yes,0.4,No,Social media,No,No,Entertainment,Probably yes,0.15,8,10,9,9,9,7,9,Gold
330,2024,2,Online (desktop),11,India,South Asia,35,Male,Master's degree,Employed full-time,$50k–$75k,Cricket,Team Sport,Soccer,15,4,Sports bar/pub,Several times a week,10.8,1,1,65,59,124,Yes,1.4,No,Sports website/app,No,Yes,Nostalgia,Probably not,0.65,10,9,8,8,7,9,6,Gold
331,2024,10,In-person tablet,15,Brazil,South America,31,Male,Master's degree,Employed part-time,$25k–$50k,Athletics,Individual Sport,Basketball,6,3,Cable/satellite TV,Weekly,3.6,0,0,24,15,39,No,2.9,No,Sports website/app,Yes,No,Entertainment,Probably not,11.26,7,8,7,7,9,9,6,Silver
332,2024,7,Online (mobile),14,Canada,North America,61,Male,Bachelor's degree,Employed full-time,$25k–$50k,Lacrosse,Team Sport,,41,5,In-person (stadium/arena),Monthly or less,0.5,1,0,18,30,48,Yes,0.0,No,Sports website/app,No,No,Community & belonging,Definitely yes,5.07,8,7,7,5,8,5,8,Bronze
333,2024,2,Online (desktop),11,USA,North America,21,Male,Bachelor's degree,Student,$25k–$50k,American Football,Team Sport,,8,4,Social media clips,Weekly,4.5,0,1,64,19,83,Yes,4.9,No,TV sports news,No,No,Entertainment,Probably yes,0.69,5,8,6,7,5,10,8,Gold
334,2024,8,Online (mobile),14,USA,North America,29,Male,High school,Employed full-time,$50k–$75k,Baseball,Team Sport,,1,3,Cable/satellite TV,A few times a month,0.9,2,0,49,78,127,Yes,2.1,No,Social media,Yes,No,Gambling/betting,Probably yes,11.67,6,7,6,9,5,8,4,Bronze
335,2024,11,Online (desktop),9,USA,North America,19,Male,Doctorate,Student,$75k–$100k,American Football,Team Sport,Soccer,6,4,Streaming service,A few times a month,1.8,4,3,3,94,97,Yes,4.5,Yes,Social media,No,No,Athletic excellence,Definitely not,10.14,9,7,6,9,7,7,8,Bronze
336,2024,11,Online (desktop),22,USA,North America,43,Female,Bachelor's degree,Self-employed,$100k–$150k,Soccer,Team Sport,,12,5,Cable/satellite TV,Several times a week,8.0,5,8,44,244,288,Yes,0.4,Yes,Podcast/radio,No,Yes,National pride,Definitely not,7.06,5,4,6,5,6,7,6,Platinum
337,2024,5,Online (mobile),15,Argentina,South America,52,Male,Some college,Employed full-time,Under $25k,Tennis,Racquet Sport,Athletics,36,6,Streaming service,Several times a week,7.9,0,0,9,4,13,No,0.5,No,TV sports news,No,No,Entertainment,Maybe,0.23,6,8,5,9,6,8,7,Silver
338,2024,12,Online (mobile),13,Japan,East Asia,51,Male,Doctorate,Employed part-time,$25k–$50k,Tennis,Racquet Sport,Martial Arts,8,5,Cable/satellite TV,Weekly,4.1,1,2,27,9,36,Yes,2.0,No,Sports website/app,No,No,Nostalgia,Definitely yes,4.74,9,8,3,6,7,8,10,Silver
339,2024,2,Online (desktop),4,UK,Europe,46,Male,Doctorate,Employed full-time,$25k–$50k,Rugby,Team Sport,Cricket,17,4,Cable/satellite TV,Several times a week,6.3,0,0,7,7,14,Yes,0.0,No,Newspaper/magazine,Yes,Yes,Athletic excellence,Definitely yes,10.59,6,8,5,7,8,9,9,Bronze
340,2024,1,Online (mobile),15,USA,North America,31,Male,Vocational training,Employed full-time,$50k–$75k,Baseball,Team Sport,American Football,14,3,Sports bar/pub,Daily,11.0,3,0,20,35,55,Yes,5.0,No,Social media,No,No,Community & belonging,Probably yes,3.69,4,7,7,5,8,7,9,Silver
341,2024,9,Online (desktop),6,UK,Europe,29,Male,Master's degree,Employed full-time,$50k–$75k,Soccer,Team Sport,,11,3,Streaming service,Several times a week,6.5,1,0,70,26,96,Yes,3.7,No,Podcast/radio,Yes,No,Athletic excellence,Definitely not,4.26,6,8,6,10,7,8,5,Silver
342,2024,2,Online (mobile),11,UK,Europe,18,Male,Vocational training,Employed full-time,$75k–$100k,Soccer,Team Sport,Rugby,7,3,Cable/satellite TV,Monthly or less,0.5,1,0,2,75,77,Yes,0.2,Yes,Social media,Yes,No,Nostalgia,Definitely yes,17.35,9,7,6,8,5,7,9,Bronze
343,2024,12,Online (mobile),11,USA,North America,55,Male,Some college,Retired,$25k–$50k,Basketball,Team Sport,,8,2,Sports bar/pub,Daily,14.7,1,0,1,37,38,No,0.0,No,Newspaper/magazine,No,No,Community & belonging,Probably not,1.22,9,6,4,7,4,8,5,Bronze
344,2024,11,Online (mobile),20,UK,Europe,38,Female,Master's degree,Employed full-time,$50k–$75k,Rugby,Team Sport,Golf,28,7,Social media clips,Weekly,5.3,2,1,154,10,164,Yes,0.0,No,Social media,Yes,No,Entertainment,Definitely yes,1.46,7,7,7,6,9,8,6,Platinum
345,2024,1,Online (mobile),14,Brazil,South America,28,Female,Master's degree,Self-employed,$100k–$150k,Basketball,Team Sport,,13,4,Free broadcast TV,A few times a month,2.8,6,4,189,96,285,Yes,4.1,No,Podcast/radio,Yes,No,National pride,Probably yes,9.79,6,8,6,10,7,4,6,Gold
346,2024,12,Online (mobile),9,Australia,Oceania,48,Male,Some college,Employed full-time,$100k–$150k,Rugby,Team Sport,,35,5,In-person (stadium/arena),Weekly,3.6,1,2,256,40,296,Yes,0.0,No,TV sports news,No,No,Community & belonging,Maybe,15.39,10,10,2,8,9,7,8,Gold
347,2024,11,In-app,8,Spain,Europe,22,Female,High school,Self-employed,Over $150k,Tennis,Racquet Sport,,10,3,Streaming service,Weekly,2.8,6,4,70,29,99,Yes,2.4,No,Social media,No,Yes,Social bonding,Maybe,31.27,5,5,2,10,7,4,9,Silver
348,2024,7,In-app,14,USA,North America,37,Female,Vocational training,Employed full-time,$75k–$100k,Basketball,Team Sport,,15,7,Cable/satellite TV,Weekly,5.1,2,7,0,49,49,Yes,1.8,No,Newspaper/magazine,Yes,No,Nostalgia,Maybe,5.75,6,6,5,7,6,10,7,Silver
349,2024,6,In-app,17,Brazil,South America,31,Male,Bachelor's degree,Self-employed,$100k–$150k,Soccer,Team Sport,Athletics,5,1,Streaming service,Several times a week,9.3,6,2,42,50,92,No,2.7,No,Sports website/app,No,No,Gambling/betting,Probably not,4.18,9,9,7,7,7,9,10,Silver
350,2024,8,Online (desktop),13,Spain,Europe,40,Non-binary,Master's degree,Student,$25k–$50k,Soccer,Team Sport,Basketball,13,2,Free broadcast TV,Daily,14.3,2,0,23,52,75,Yes,0.4,No,TV sports news,Yes,No,Entertainment,Probably yes,2.16,6,8,7,9,9,6,10,Silver
351,2024,10,Online (desktop),12,Germany,Europe,32,Female,High school,Student,$25k–$50k,Soccer,Team Sport,,22,2,Cable/satellite TV,Monthly or less,1.7,1,0,45,3,48,Yes,0.9,No,TV sports news,No,No,Community & belonging,Probably yes,2.8,8,6,6,8,9,9,5,Bronze
352,2024,3,Online (desktop),13,Argentina,South America,18,Male,High school,Employed full-time,Under $25k,Soccer,Team Sport,Athletics,8,2,Free broadcast TV,Several times a week,7.9,0,0,26,4,30,Yes,3.4,No,Sports website/app,No,No,Athletic excellence,Probably not,6.26,6,7,8,8,6,7,10,Silver
353,2024,3,In-person tablet,18,Spain,Europe,34,Male,Bachelor's degree,Self-employed,$75k–$100k,Basketball,Team Sport,Soccer,10,3,Cable/satellite TV,Weekly,3.6,3,1,10,27,37,Yes,0.5,No,Sports website/app,No,Yes,Community & belonging,Definitely yes,31.77,10,9,8,9,10,9,8,Bronze
354,2024,6,Online (mobile),15,USA,North America,45,Male,Some college,Employed full-time,Over $150k,Tennis,Racquet Sport,Baseball,1,2,Cable/satellite TV,Several times a week,7.2,6,3,214,249,463,Yes,0.2,No,Podcast/radio,No,Yes,Entertainment,Probably yes,7.19,6,10,5,8,6,4,9,Gold
355,2024,6,Online (desktop),13,USA,North America,33,Male,Master's degree,Employed full-time,$25k–$50k,American Football,Team Sport,Ice Hockey,12,3,Cable/satellite TV,Daily,8.0,1,1,46,30,76,Yes,2.8,No,Sports website/app,No,Yes,Community & belonging,Definitely not,2.74,6,10,6,6,8,8,5,Silver
356,2024,3,Online (mobile),10,Spain,Europe,42,Female,Bachelor's degree,Employed full-time,$75k–$100k,Soccer,Team Sport,Basketball,16,4,Free broadcast TV,Monthly or less,1.1,2,2,93,14,107,Yes,0.6,No,Social media,No,No,Entertainment,Probably not,6.66,6,4,4,7,5,8,10,Silver
357,2024,6,Online (mobile),16,USA,North America,21,Male,High school,Employed full-time,$75k–$100k,Ice Hockey,Team Sport,,6,2,Streaming service,A few times a month,1.9,4,0,22,39,61,No,2.3,No,Social media,No,Yes,Community & belonging,Probably not,9.28,6,8,6,6,7,5,6,Bronze
358,2024,1,In-app,16,Australia,Oceania,33,Female,High school,Employed full-time,Over $150k,Cricket,Team Sport,,17,4,Cable/satellite TV,Daily,15.3,5,2,99,88,187,Yes,2.2,No,TV sports news,No,No,Entertainment,Definitely yes,23.1,6,5,7,8,8,9,9,Platinum
359,2024,1,Online (desktop),18,China,East Asia,26,Female,Bachelor's degree,Student,$75k–$100k,Badminton,Racquet Sport,,13,5,Streaming service,Monthly or less,1.7,1,5,171,6,177,No,3.0,No,TV sports news,No,Yes,Nostalgia,Probably not,4.32,4,9,5,7,7,9,7,Platinum
360,2024,5,Online (mobile),17,Australia,Oceania,41,Female,Some college,Employed full-time,Over $150k,Rugby,Team Sport,Swimming,26,5,Streaming service,Weekly,3.4,6,3,153,118,271,No,0.0,No,TV sports news,No,Yes,Gambling/betting,Probably not,37.65,6,5,6,6,9,8,7,Gold
361,2024,4,Online (desktop),15,Brazil,South America,33,Female,Master's degree,Employed full-time,$25k–$50k,Soccer,Team Sport,,16,5,In-person (stadium/arena),Several times a week,3.3,1,1,63,3,66,Yes,5.4,No,Social media,No,No,National pride,Maybe,10.54,8,6,7,10,6,7,8,Gold
362,2024,11,Online (mobile),14,Spain,Europe,41,Male,Bachelor's degree,Employed full-time,$25k–$50k,Tennis,Racquet Sport,Basketball,3,4,Streaming service,Weekly,4.7,0,0,30,1,31,Yes,1.5,No,Social media,No,No,Community & belonging,Probably yes,5.69,8,7,8,9,9,7,9,Silver
363,2024,2,Online (mobile),10,UK,Europe,45,Male,High school,Self-employed,$50k–$75k,Soccer,Team Sport,,17,4,Streaming service,Daily,14.1,2,2,311,4,315,No,2.9,No,TV sports news,No,Yes,Nostalgia,Probably yes,1.88,6,7,5,8,7,9,6,Platinum
364,2024,3,Online (desktop),15,Germany,Europe,41,Female,Bachelor's degree,Employed part-time,$50k–$75k,Athletics,Individual Sport,,33,5,Social media clips,Weekly,2.9,1,1,185,15,200,Yes,3.8,No,Social media,No,No,Athletic excellence,Maybe,15.13,6,6,4,9,7,10,8,Gold
365,2024,11,Online (desktop),11,China,East Asia,36,Male,High school,Employed full-time,Under $25k,Badminton,Racquet Sport,Swimming,18,3,Cable/satellite TV,Daily,14.9,1,0,4,8,12,Yes,1.7,No,Sports website/app,Yes,No,Athletic excellence,Probably not,10.14,9,5,5,8,5,7,7,Silver
366,2024,1,Online (desktop),7,Brazil,South America,22,Male,High school,Student,$75k–$100k,Volleyball,Team Sport,,8,2,Streaming service,Weekly,5.2,4,0,18,1,19,Yes,5.1,No,Sports website/app,No,No,Athletic excellence,Probably yes,8.17,8,4,6,8,10,5,5,Bronze
367,2024,6,In-app,21,Nigeria,Africa,33,Female,Some college,Employed part-time,$75k–$100k,Soccer,Team Sport,Tennis,15,3,Streaming service,Weekly,2.6,4,0,98,32,130,Yes,4.1,No,Social media,Yes,No,Nostalgia,Probably yes,2.77,7,5,6,6,7,7,7,Silver
368,2024,10,Online (desktop),9,Pakistan,South Asia,27,Female,Master's degree,Employed full-time,$75k–$100k,Field Hockey,Team Sport,Soccer,12,4,Streaming service,A few times a month,1.7,1,3,19,7,26,Yes,4.1,No,Social media,No,Yes,Entertainment,Maybe,0.07,7,8,3,9,7,9,8,Silver
369,2024,5,In-person tablet,10,India,South Asia,29,Male,Doctorate,Employed part-time,$25k–$50k,Soccer,Team Sport,,1,3,Cable/satellite TV,Weekly,6.2,2,0,21,4,25,Yes,0.7,No,Sports website/app,No,No,Entertainment,Maybe,2.19,7,10,6,8,8,7,5,Bronze
370,2024,10,Online (mobile),14,USA,North America,29,Female,Master's degree,Self-employed,$50k–$75k,Tennis,Racquet Sport,Basketball,10,4,In-person (stadium/arena),Several times a week,6.6,2,1,18,175,193,No,1.6,No,Sports website/app,Yes,No,Entertainment,Probably yes,3.68,7,5,4,7,6,6,7,Silver
371,2024,6,Online (desktop),14,USA,North America,22,Female,Bachelor's degree,Self-employed,$25k–$50k,American Football,Team Sport,,7,1,In-person (stadium/arena),A few times a month,2.1,0,0,1,32,33,Yes,3.2,No,Sports website/app,Yes,No,Community & belonging,Probably yes,15.46,7,5,6,7,8,10,8,Bronze
372,2024,11,Online (mobile),14,USA,North America,18,Male,Some college,Employed full-time,Under $25k,American Football,Team Sport,,8,4,Streaming service,Weekly,0.5,1,0,6,3,9,Yes,5.1,No,TV sports news,No,No,Athletic excellence,Maybe,1.55,9,5,7,6,8,5,7,Bronze
373,2024,6,Online (desktop),11,USA,North America,26,Male,Bachelor's degree,Employed full-time,$50k–$75k,Ice Hockey,Team Sport,Basketball,10,2,In-person (stadium/arena),Weekly,1.8,1,0,34,7,41,Yes,3.1,No,Sports website/app,Yes,Yes,Athletic excellence,Definitely yes,3.19,7,7,8,9,6,10,8,Bronze
374,2024,2,In-app,15,Japan,East Asia,35,Female,Master's degree,Employed full-time,Under $25k,Soccer,Team Sport,Martial Arts,3,1,Cable/satellite TV,Daily,14.1,0,0,0,6,6,Yes,1.8,No,Social media,Yes,Yes,Gambling/betting,Definitely yes,2.65,9,7,8,8,7,7,6,Bronze
375,2024,11,Online (desktop),18,USA,North America,18,Male,Vocational training,Self-employed,Under $25k,American Football,Team Sport,,6,2,Cable/satellite TV,A few times a month,3.2,0,1,0,5,5,No,1.7,No,Podcast/radio,No,No,Community & belonging,Maybe,0.22,5,5,6,8,5,7,5,Bronze
376,2024,8,Online (desktop),9,India,South Asia,33,Male,High school,Student,$75k–$100k,Field Hockey,Team Sport,,8,6,Free broadcast TV,Monthly or less,0.5,2,0,170,34,204,Yes,2.4,No,Sports website/app,No,No,Athletic excellence,Definitely yes,2.72,9,4,5,5,8,8,7,Gold
377,2024,6,In-app,8,Argentina,South America,54,Male,High school,Employed full-time,Under $25k,Rugby,Team Sport,Boxing,11,3,Cable/satellite TV,Weekly,4.1,1,0,1,3,4,No,2.2,No,Podcast/radio,No,Yes,Entertainment,Maybe,3.51,7,4,5,5,7,8,2,Bronze
378,2024,2,Online (mobile),4,USA,North America,44,Female,Master's degree,Employed full-time,Over $150k,Tennis,Racquet Sport,,12,3,Streaming service,Monthly or less,0.6,6,3,291,156,447,Yes,2.3,Yes,Podcast/radio,No,Yes,Entertainment,Maybe,9.07,9,6,7,8,10,8,9,Silver
379,2024,1,Online (mobile),11,France,Europe,51,Male,Master's degree,Student,$50k–$75k,Cycling,Individual Sport,,29,5,Social media clips,Several times a week,9.9,1,1,37,2,39,Yes,0.4,Yes,TV sports news,No,No,Gambling/betting,Maybe,0.18,10,8,7,7,10,6,9,Gold
380,2024,9,Online (desktop),13,India,South Asia,37,Male,Master's degree,Student,Over $150k,Cricket,Team Sport,,25,4,Streaming service,A few times a month,0.8,4,3,227,112,339,Yes,2.3,No,Podcast/radio,No,No,Gambling/betting,Probably not,15.45,10,7,3,9,7,7,8,Gold
381,2024,4,Online (mobile),14,USA,North America,46,Male,Master's degree,Unemployed,Under $25k,Basketball,Team Sport,Soccer,25,3,Cable/satellite TV,Several times a week,8.9,0,0,25,13,38,No,1.4,No,Sports website/app,No,Yes,Athletic excellence,Definitely yes,2.76,4,9,10,5,5,8,6,Silver
382,2024,10,Online (mobile),11,Japan,East Asia,25,Prefer not to say,Vocational training,Self-employed,$50k–$75k,Baseball,Team Sport,,12,3,Free broadcast TV,Daily,11.2,1,1,23,26,49,Yes,3.3,No,Social media,Yes,No,Entertainment,Definitely yes,9.0,9,4,7,5,5,6,9,Silver
383,2024,11,Online (mobile),18,Spain,Europe,26,Male,Bachelor's degree,Student,$25k–$50k,Cycling,Individual Sport,,12,4,Free broadcast TV,Weekly,4.3,0,2,0,17,17,Yes,3.4,No,Social media,No,No,National pride,Definitely yes,2.11,6,7,7,6,4,9,9,Bronze
384,2024,8,Online (mobile),16,Argentina,South America,18,Female,Doctorate,Employed full-time,$100k–$150k,Rugby,Team Sport,,5,3,Social media clips,Weekly,4.1,4,1,54,67,121,Yes,0.0,Yes,Social media,No,No,Physical inspiration,Maybe,7.96,7,9,6,5,4,7,4,Silver
385,2024,2,Online (desktop),14,Canada,North America,46,Female,Vocational training,Employed full-time,$25k–$50k,Baseball,Team Sport,Lacrosse,27,3,Cable/satellite TV,Several times a week,7.5,0,1,37,39,76,No,0.0,No,TV sports news,No,No,Athletic excellence,Probably yes,2.61,8,6,3,6,6,5,6,Silver
